Product_Brand,Product_Name,Product_Type,Product_Category,Product_Original_Price,Product_Offer_Price,Product_Discount,Product_Rating,Product_Ratings_Count,Product_Reviews_Count,Product_Highlight,Product_Stock_Status,Product_Rating_Scale,Product_Price_Difference
Lakme,"Lakme 9 to 5 Naturale Day Face Cream
(50gm)",Skin Care,Moisturizers,375,356,5,4.4,2677,202,,In Stock,High,19
Lakme,"Lakme Absolute Instant Airbrush
Concealer Pen - Cinmon (1.8 g)",Makeup,Face,699,489,30,4.1,1014,27,,In Stock,High,210
Lakme,"Lakme 6% Vit B3 E F & Pro-Ceramides Dew
Drama Serum for Improved Skin Barrier &
Dewy Radiant Skin (30ml)",Skin Care,Serums,525,473,10,4.2,679,27,,In Stock,High,52
Lakme,"Lakme Face It Highlighter - Rosegold (4
g)",Makeup,Face,299,254,15,4.1,341,16,,In Stock,High,45
Lakme,"Lakme Dew Drama Gel Creme With With Vit
E + Vit B + Vit F & Pro-Ceramides For
Improved Skin Barrier (50 g)",Skin Care,Moisturizers,349,314,10,4.6,258,119,,In Stock,High,35
Lakme,"Lakme Absolute Makeup Master Tools -
Dual Ended Eyeshadow Brush (1 g)",Makeup,Eyes,699,559,20,4.3,115,1,,In Stock,High,140
Lakme,"Lakme Absolute Makeup Master Tools -
Dual Ended Fondation & Powder Brush
(1pcs)",Makeup,Tools,799,639,20,4.4,136,10,,In Stock,High,160
Lakme,"Lakme Lash Boost Extreme Mascara Black
(10ml)",Makeup,Eyes,849,637,25,4.4,84,2,,In Stock,High,212
Lakme,"Lakme Beyond Matte Liquid Lip Color,
Pink Footprint (2.4ml)",Makeup,Lips,450,360,20,4.4,12159,1069,,In Stock,High,90
Lakme,"Lakme Absolute Perfect Radiance with
Niacinamide CSMS Combo",Kits & Combos,Combo,1824,1587,13,4.3,95675,5350,,In Stock,High,237
Lakme,"Lakme Absolute Skin Dew Face Primer (28
g)",Makeup,Face,799,495,38,4.2,363,7,,In Stock,High,304
Lakme,Lakme Duo Lip Combo (2 pcs),Kits & Combos,Combo,1300,780,40,4.2,73069,3406,,In Stock,High,520
